mae,rmse,crps,dir_acc,coverage,interval_width,mase,actual,predicted,q10,q90,origin_price,as_of,horizon
30.350716331284104,30.350716331284104,14.541009051218134,0.0,0.0,4.994101961372934,9.759070860070725,67.04000091552734,97.39071724681145,94.9882597074024,99.98236166877534,70.1500015258789,2024-12-11,90
17.13485219325392,17.13485219325392,7.838470137609074,0.0,0.0,5.021728339798429,34.26970438650784,66.51000213623047,83.64485432948439,80.95581361845089,85.97754195824932,67.01000213623047,2025-01-10,30
19.35320881254873,19.35320881254873,8.991288225816426,0.0,0.0,5.25300123889528,18.973654655245465,65.98999786376953,85.34320667631826,82.76195801105492,88.0149592499502,67.01000213623047,2025-01-10,60
17.71437643171123,17.71437643171123,8.163220631169146,0.0,0.0,5.188796309881425,19.90380739329345,66.12000274658203,83.83437917829326,81.23359679324571,86.42239310312713,67.01000213623047,2025-01-10,90
2.5022799680236574,2.5022799680236574,0.5952994710542677,0.0,1.0,5.347584291509747,2.2341730640036297,65.41999816894531,67.92227813696897,65.18853688132381,70.53612117283356,66.54000091552734,2025-02-10,30
7.8495967798207005,7.8495967798207005,3.2363090770049463,0.0,0.0,5.206307665806079,1.453628622548046,71.94000244140625,64.09040566158555,61.47019670107629,66.67650436688237,66.54000091552734,2025-02-10,60
2.228050855748961,2.228050855748961,0.5441633795848981,0.0,1.0,5.184647108802139,1.3106146213125567,64.83999633789062,67.06804719363959,64.393611531046,69.57825863984814,66.54000091552734,2025-02-10,90
7.577740594718627,7.577740594718627,2.9407924963388345,0.0,0.0,5.600242528282735,7.286282619161207,67.04000091552734,59.46226032080872,56.96627544841569,62.56651797669843,66.0,2025-03-11,30
6.491309432566183,6.491309432566183,2.4852509787564734,0.0,0.0,5.77274903680825,6.4270254484738585,64.98999786376953,71.48130729633571,68.62282118007504,74.39557021688329,66.0,2025-03-11,60
9.965263196922479,9.965263196922479,4.247189668368446,1.0,0.0,5.567916952446012,7.9722105575379825,67.25,77.21526319692248,74.4521457113995,80.02006266384551,66.0,2025-03-11,90
6.552392718772296,6.552392718772296,2.5654185355204855,1.0,0.0,5.640256957169271,11.495431977017072,66.12000274658203,72.67239546535433,69.97603629804041,75.61629325520968,65.55000305175781,2025-04-08,30
16.45711677581008,16.45711677581008,7.45942914280123,1.0,0.0,5.612098563742975,149.60932237751274,65.66000366210938,82.11712043791945,79.24852284623373,84.8606214099767,65.55000305175781,2025-04-08,60
30.08006866484361,30.08006866484361,14.313957604368634,1.0,0.0,5.655456997315397,48.51662187485703,66.16999816894531,96.25006683378892,93.50629094989787,99.16174794721327,65.55000305175781,2025-04-08,90
